"* Required Fields","* 必填字段"
"Comment","内容"
"Contact Form","联络窗体"
"Contact Information","联络信息"
"Contact Us","联络我们"
"Contact Us Form","联络我们窗体"
"Contacts","联络人"
"Contacts Section","联络区"
"Email","电子信箱"
"Email Options","信件选项"
"Email Sender","寄件人"
"Email Template","信件样板"
"Enable Contact Us","开启联络我们"
"Name","姓名"
"Send Emails To","发送信件给"
"Submit","送出"
"Telephone","电话"
"Unable to submit your request. Please, try again later","无法送出您的问题，请稍后重试"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的问题已送出，我们会尽快回复您。感谢您联络我们！"
