"-- Please select --","-- 请选择 --"
"Allowed Currencies","允许货币"
"Base Currency","基础货币"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","基础货币用于所有的交易付款。 范围由目录价格范围定义 (""Catalog"" > ""Price"" > ""Catalog Price Scope"")"
"Can\'t convert rate from ""%s-%s"".","无法从 ""%s-%s"" 转换汇率"
"Cannot retrieve rate from %s.","无法从%s取得汇率"
"Connection Timeout in Seconds","连结超过时限"
"Continue &raquo;","继续 &raquo;"
"Country","国家"
"Country API","国家API"
"Country and Format Type combination should be unique","国家和格式类型组合必须唯一"
"Currency","货币"
"Currency Options","货币选项"
"Currency Setup","货币设定"
"Currency Update Warnings","货币更新警告"
"Default Display Currency","预设货币"
"Directory","目录"
"Display not required State","显示县市选填提示"
"Enabled","打开"
"Error Email Recipient","错误记录的收件人"
"Error Email Sender","错误记录的寄件人"
"Error Email Template","错误记录的样板"
"FATAL ERROR:","致命错误："
"Frequency","频率"
"Installed Currencies","已安装货币"
"Invalid Import Service specified.","指定的汇入服务有误"
"Invalid country code: %s","国家代码有误：%s"
"Invalid rates received","接收的汇率有误"
"Invalid target currency.","目标货币有误"
"List of countries","国家列表"
"List of regions in specified country","指定国家的区域列表"
"Postal Code is Optional for the following countries","邮政编码在下列国家选填"
"Region","区域"
"Region API","区域 API"
"Scheduled Import Settings","定期汇入设定"
"Select Your Currency","选择货币"
"Service","服务"
"Start Time","开始时间"
"State is required for","县市在哪些国家必填"
"State/Province","县市"
"States Options","县市选项"
"Unable to initialize the import model.","无法初始化汇入模式"
"Undefined rate from ""%s-%s"".","""%s-%s""尚尚未定义汇率"
"WARNING:","警告："
"Webservicex","Web服务"
"Your current currency is: %s","您目前货币是：%s"
