" Copy","复制"
"Action","操作"
"Add New Template","新增样板"
"Add to Queue","加入到排程"
"Allow Guest Subscription","允许访客订阅"
"An error occurred while saving your subscription.","保存您的订阅时发生错误"
"Are you sure that you want to delete this template?","您确认要删除这个样板吗？"
"Are you sure that you want to strip all tags?","您确认要删除所有标签吗？"
"Back","返回"
"Cancel","取消"
"Cancelled","已取消"
"Cannot mark as received subscriber.","不能标记为已订阅人"
"Confirmation Email Sender","确认信件的寄件人"
"Confirmation Email Template","确认信件的样板"
"Confirmation request has been sent.","确认信件已发出"
"Convert to Plain Text","转换为纯文本"
"Create Newsletter Template","建立电子报样板"
"Customer","客户"
"Customer First Name","客户名字"
"Customer Last Name","客户姓氏"
"Customer My Account Newsletter Subscriptions","自定义我的账号的信件杂志订阅"
"Date Added","加入日期"
"Date Updated","更新日期"
"Delete","删除"
"Delete Selected Problems","删除已选问题"
"Delete Template","删除样板"
"Do you really want to cancel the queue?","您确认要取消排程吗？"
"Duplicate template code.","样板代码重复"
"Edit Newsletter","编辑电子报"
"Edit Newsletter Template","编辑电子报样板"
"Edit Queue","编辑排程"
"Edit Template","编辑样板"
"Email","电子信箱"
"Enter your email address","输入您的电子信箱"
"Error Code","错误代码"
"Error Text","错误文字"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","点击链接取消订阅 <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","访客"
"ID","编号"
"Invalid queue selected.","选择的排程有误"
"Invalid subscription ID.","订阅编号有误"
"Invalid subscription confirmation code.","订阅确认码有误"
"Message","内容"
"Need to Confirm","需要确认"
"New Newsletter Template","新增电子报样板"
"New Template","建立样板"
"Newsletter","电子报"
"Newsletter Message Preview","电子报内容预览"
"Newsletter Problem Reports","电子报错误报告"
"Newsletter Queue","电子报排程"
"Newsletter Section","电子报区"
"Newsletter Sign-up:","电子报订阅："
"Newsletter Styles","电子报样式"
"Newsletter Subscribers","电子报订阅人"
"Newsletter Subscription","电子报订阅"
"Newsletter Subscription Form Before","之前的电子报"
"Newsletter Subscriptions","电子报订阅"
"Newsletter Templates","电子报样板"
"Newsletter subscription confirmation","电子报订阅确认"
"Newsletter subscription success","电子报订阅成功"
"Newsletter unsubscription success","电子报退订成功"
"No Templates Found","没有找到样板"
"No problems found.","没有找到问题"
"No subscribers selected.","没有选择订阅人"
"Not Activated","未启动"
"Not Sent","未发送"
"Pause","暂停"
"Paused","已暂停"
"Please enter a valid email address.","请输入正确的信件地址"
"Please enter new template name","请输入新的样板名"
"Please refer to exeption.log","请参考 exeption.log"
"Please select subscriber(s)","请选择订阅人"
"Preview","预览"
"Preview Template","预览样板"
"Processed","处理日期"
"Queue Date Start","排程日期开始"
"Queue Finish","排程结束"
"Queue Information","排程信息"
"Queue Newsletter...","排程电子报.."
"Queue Start","排程开始"
"Queue Subject","排程主题"
"Recipients","收件人"
"Reset","重置"
"Resume","继续"
"Return HTML Version","返回Html版本"
"Save As","另存为"
"Save Newsletter","保存电子报"
"Save Template","保存模版"
"Save and Resume","保存并继续"
"Selected problem subscribers have been unsubscribed.","已选择有问题的订阅者已经取消订阅"
"Selected problems have been deleted.","选中的问题已删除。"
"Sender","发送方"
"Sender Email","寄件人信箱"
"Sender Name","寄件人名称"
"Sending","正在发送"
"Sent","已发送"
"Sign Up for Our Newsletter:","订阅我们的电子报："
"Sign up for our newsletter","订阅我们的电子报"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","对不起，但管理员拒绝了来宾的订阅。请 <a href=""%s"">注册</a>。"
"Start","开始"
"Status","状态"
"Store","商店"
"Store View","店铺视图"
"Subject","主题"
"Submit","提交"
"Subscribe","订阅"
"Subscribed","已订阅"
"Subscriber","订阅者"
"Subscribers","订阅者"
"Subscribers From","订阅者来自"
"Subscription Options","订阅选项"
"Success Email Sender","成功电子邮件发送者"
"Success Email Template","成功电子邮件样板"
"Template Content","样板内容"
"Template Information","样板信息"
"Template Name","样板名称"
"Template Styles","样板风格"
"Template Subject","样板主题"
"Template Type","样板类型"
"Thank you for your subscription.","感谢您的订阅。"
"The subscription has been removed.","订阅已删除。"
"The subscription has been saved.","订阅已保存。"
"There was a problem with the subscription.","订阅遇到问题。"
"There was a problem with the subscription: %s","订阅 %s 遇到问题"
"There was a problem with the un-subscription.","取消订阅遇到问题。"
"This email address is already assigned to another user.","该电子邮件地址已分配给另一使用者。"
"Type","类型"
"Unconfirmed","未确认"
"Unsubscribe","退订"
"Unsubscribe Selected","退订所选者"
"Unsubscribed","已退订"
"Unsubscription Email Sender","退订邮件发送程序"
"Unsubscription Email Template","退订邮件样板"
"View Newsletter","查看电子报"
"Website","网站"
"You have been unsubscribed.","您已经退订。"
"Your subscription has been confirmed.","您的订阅已确认。"
