"An error occurred while clearing the external full page cache.","清除外部整页快取时发生错误"
"Cookie Lifetime (seconds)","Cookie存在时间（秒）"
"Enable External Cache","允许外部快取"
"External Cache Control","外部快取控制"
"External Full Page Cache Settings","外部整页快取设定"
"External full page cache.","外部整页快取"
"Failed to load external cache control","加载外部快取控制失败"
"Flush External Page Cache","更新外部页面快取"
"If empty, default value will be used.","如果空白，将使用默认值"
"The external full page cache has been cleaned.","外部整页快取被清除"
"Zend Full Page Cache","Zend整页快取"
