"ALL","全部"
"ANY","之一"
"Add","新增"
"Apply","应用"
"Conditions Combination","条件组合"
"Customer Groups must be specified.","必须指定客户群组"
"End Date must be greater than Start Date.","结束日期必须在开始日期之后"
"FALSE","假"
"If %s of these conditions are %s:","如果这些条件%s为%s："
"Invalid discount amount.","错误的折扣金额"
"Open Chooser","打开选择"
"Perform following actions","执行以下操作"
"Please choose a condition to add...","请选择要新增的条件.."
"Please choose an action to add...","请选择要新增的操作.."
"Remove","删除"
"TRUE","真"
"There is no information about associated entity type ""%s"".","相关的实体类型 ""%s"" 没有信息"
"Websites must be specified.","必须指定网站"
"by","于"
"contains","包含"
"does not contain","不包含"
"equals or greater than","不小于"
"equals or less than","不大于"
"greater than","大于"
"is","等于"
"is not","不等于"
"is not one of","不属于"
"is one of","属于"
"less than","小于"
"to","到"
