"All Websites","所有网站"
"Apply Discounts To FPT","套用折扣到 FPT"
"Apply Tax To FPT","产品固定税应用税率"
"Display Prices In Emails","在信件中显示价格"
"Display Prices In Product Lists","在产品列表中显示价格"
"Display Prices In Sales Modules","在销售模块中显示价格"
"Display Prices On Product View Page","在产品查看页面显示价格"
"Enable FPT","开启产品固定税"
"Excluding FPT","不包含产品固定税"
"Excluding FPT, FPT description, final price","不包含产品固定税，产品固定税描述，最终价格"
"Fixed Product Tax","产品固定税"
"Fixed Product Taxes","产品固定税"
"Include FPT In Subtotal","小计中包含产品固定税"
"Including FPT and FPT description","包含 FPT 和 FPT 描述"
"Including FPT and FPT description [incl. FPT VAT]","包含产品固定税和产品固定税描述[包含产品固定税增值税]"
"Including FPT only","只含产品固定税"
"Total","总计"
"Total Incl. Tax","含税总计"
"Total excl. tax","未税总计"
"Total incl. tax","含税总计"
